asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
4225484,0,0,1,NaN%,NaN%,0,1
4225485,1,0,3,100%,0%,0,4
4225486,0,0,1,NaN%,NaN%,0,1
4225487,1,1,1,50%,50%,1,3
4225489,0,2,0,0%,100%,0,2
4225491,0,0,1,NaN%,NaN%,0,1
4225492,0,1,2,0%,100%,0,3
4225493,0,0,2,NaN%,NaN%,0,2
4225494,1,0,0,100%,0%,0,1
4225496,0,1,0,0%,100%,0,1
4225497,0,0,1,NaN%,NaN%,0,1
4225498,0,0,1,NaN%,NaN%,0,1
4225500,0,1,0,0%,100%,0,1
4225501,0,2,0,0%,100%,0,2
4225502,0,1,2,0%,100%,0,3
4225503,0,0,1,NaN%,NaN%,0,1
4225504,0,0,2,NaN%,NaN%,0,2
4225505,0,1,3,0%,100%,0,4
4225507,0,0,3,NaN%,NaN%,0,3
4225509,0,0,2,NaN%,NaN%,0,2
4225510,0,1,1,0%,100%,0,2
4225511,0,2,3,0%,100%,0,5
4225512,0,0,2,NaN%,NaN%,0,2
4225513,0,0,2,NaN%,NaN%,0,2
4225514,0,1,2,0%,100%,0,3
4225515,0,1,0,0%,100%,0,1
4225516,1,0,2,100%,0%,0,3
4225518,0,0,3,NaN%,NaN%,0,3
4225519,0,2,1,0%,100%,0,3
4225520,1,0,2,100%,0%,0,3
4225521,0,2,5,0%,100%,0,7
4225522,0,2,0,0%,100%,0,2
4225523,0,0,1,NaN%,NaN%,0,1
4225524,0,1,2,0%,100%,0,3
4225526,0,1,1,0%,100%,0,2
4225527,0,0,2,NaN%,NaN%,0,2
4225528,0,1,1,0%,100%,0,2
4225531,0,0,1,NaN%,NaN%,0,1
4225532,0,1,1,0%,100%,0,2
4225533,0,0,3,NaN%,NaN%,0,3
4225534,0,0,3,NaN%,NaN%,0,3
4225536,0,0,2,NaN%,NaN%,0,2
4225537,0,0,1,NaN%,NaN%,0,1
4225538,0,0,1,NaN%,NaN%,0,1
4225539,0,0,2,NaN%,NaN%,0,2
4225540,0,0,3,NaN%,NaN%,0,3
4225541,0,0,1,NaN%,NaN%,0,1
4225543,0,0,2,NaN%,NaN%,0,2
4225544,0,1,3,0%,100%,0,4
4225545,0,1,2,0%,100%,0,3
4225546,1,1,0,50%,50%,1,2
4225547,0,0,1,NaN%,NaN%,0,1
4225548,0,1,1,0%,100%,0,2
4225549,0,0,3,NaN%,NaN%,0,3
4225551,0,0,1,NaN%,NaN%,0,1
4225552,1,0,0,100%,0%,0,1
4225553,0,1,0,0%,100%,0,1
4225554,0,1,0,0%,100%,0,1
4225555,0,0,1,NaN%,NaN%,0,1
4225557,0,0,3,NaN%,NaN%,0,3
4225559,0,0,1,NaN%,NaN%,0,1
4225560,0,0,2,NaN%,NaN%,0,2
4225561,1,2,0,33%,67%,0,3
4225562,1,1,0,50%,50%,1,2
4225563,1,0,0,100%,0%,0,1
4225564,0,0,1,NaN%,NaN%,0,1
4225565,0,1,2,0%,100%,0,3
4225566,0,1,2,0%,100%,0,3
4225568,0,0,1,NaN%,NaN%,0,1
4225570,0,1,1,0%,100%,0,2
4225573,0,0,2,NaN%,NaN%,0,2
4225575,0,3,0,0%,100%,0,3
4225576,0,2,2,0%,100%,0,4
4225577,1,1,1,50%,50%,1,3
4225579,0,0,1,NaN%,NaN%,0,1
4225580,0,1,1,0%,100%,0,2
4225582,0,0,3,NaN%,NaN%,0,3
4225584,0,1,2,0%,100%,0,3
4225585,0,0,1,NaN%,NaN%,0,1
4225586,0,0,1,NaN%,NaN%,0,1
4225587,0,0,1,NaN%,NaN%,0,1
4225588,1,0,0,100%,0%,0,1
4225590,0,1,0,0%,100%,0,1
4225592,0,0,1,NaN%,NaN%,0,1
4225593,0,0,1,NaN%,NaN%,0,1
4225598,0,2,0,0%,100%,0,2
4225602,0,0,2,NaN%,NaN%,0,2
4225603,1,0,0,100%,0%,0,1
4225605,0,0,1,NaN%,NaN%,0,1
4225609,0,1,1,0%,100%,0,2
4225613,0,0,1,NaN%,NaN%,0,1
4225618,0,1,0,0%,100%,0,1
4225621,0,0,1,NaN%,NaN%,0,1
4225622,1,0,0,100%,0%,0,1
4225624,0,0,1,NaN%,NaN%,0,1
4225625,0,0,1,NaN%,NaN%,0,1
4225626,0,0,1,NaN%,NaN%,0,1
4225627,1,0,0,100%,0%,0,1
4225629,0,1,0,0%,100%,0,1
4225630,1,0,0,100%,0%,0,1
4225631,0,0,2,NaN%,NaN%,0,2
4225634,0,0,2,NaN%,NaN%,0,2
4225635,0,1,0,0%,100%,0,1
4225636,0,0,1,NaN%,NaN%,0,1
4225638,0,1,1,0%,100%,0,2
4225639,0,0,1,NaN%,NaN%,0,1
4225640,1,0,0,100%,0%,0,1
4225641,1,1,1,50%,50%,1,3
4225642,0,1,1,0%,100%,0,2
4225643,1,1,0,50%,50%,1,2
4225644,0,1,1,0%,100%,0,2
4225645,0,0,1,NaN%,NaN%,0,1
4225647,0,1,0,0%,100%,0,1
4225648,0,0,2,NaN%,NaN%,0,2
4225649,0,0,1,NaN%,NaN%,0,1
4225652,0,1,0,0%,100%,0,1
4225672,0,1,0,0%,100%,0,1
4225692,0,2,5,0%,100%,0,7
4225696,5,6,9,45%,55%,1,20
4226010,7,11,16,39%,61%,0,34
4226013,5,7,23,42%,58%,0,35
4226014,5,11,15,31%,69%,0,31
4226015,10,7,15,59%,41%,0,32
4226018,9,9,27,50%,50%,1,45
4226020,7,6,17,54%,46%,1,30
4226021,7,2,20,78%,22%,0,29
4226022,2,6,13,25%,75%,0,21
4226023,4,5,25,44%,56%,0,34
4226024,9,3,16,75%,25%,0,28
4226025,8,5,17,62%,38%,0,30
4226026,5,5,20,50%,50%,1,30
4226027,3,6,24,33%,67%,0,33
4226028,5,5,21,50%,50%,1,31
4226029,3,5,20,38%,63%,0,28
4226030,7,6,20,54%,46%,1,33
4226031,6,6,16,50%,50%,1,28
4226032,5,4,12,56%,44%,0,21
4226034,7,4,26,64%,36%,0,37
4226036,4,5,17,44%,56%,0,26
4226038,5,3,13,63%,38%,0,21
4226039,3,6,13,33%,67%,0,22
4226040,3,6,21,33%,67%,0,30
4226041,6,7,21,46%,54%,1,34
4226079,0,0,1,NaN%,NaN%,0,1
4226108,1,0,3,100%,0%,0,4
4226190,0,0,1,NaN%,NaN%,0,1
4226191,0,0,1,NaN%,NaN%,0,1
4226192,0,0,1,NaN%,NaN%,0,1
4226193,1,0,0,100%,0%,0,1
4226195,1,0,1,100%,0%,0,2
4226196,0,0,1,NaN%,NaN%,0,1
4226197,1,0,0,100%,0%,0,1
4226198,0,1,0,0%,100%,0,1
4226199,0,0,1,NaN%,NaN%,0,1
4226200,0,1,0,0%,100%,0,1
4226201,0,0,1,NaN%,NaN%,0,1
4226202,0,1,1,0%,100%,0,2
4226204,0,0,1,NaN%,NaN%,0,1
4226205,0,0,2,NaN%,NaN%,0,2
4226207,0,0,1,NaN%,NaN%,0,1
4226208,0,1,0,0%,100%,0,1
4226209,0,0,1,NaN%,NaN%,0,1
4226210,0,0,1,NaN%,NaN%,0,1
4226211,1,0,1,100%,0%,0,2
4226230,2,0,2,100%,0%,0,4
4226231,0,0,2,NaN%,NaN%,0,2
4226232,0,1,0,0%,100%,0,1
4226233,0,1,2,0%,100%,0,3
4226241,0,1,0,0%,100%,0,1
